// Start Time: Unknown
// Update Rate: Various
// Filter Profile: general (39.15)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 1.10.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
31864	8269303	0.096298	-0.028675	9.823565	0.000930	-0.007795	-0.005500				-0.381424	-0.548476	31.792891
31868	8269328	0.090589	-0.035434	9.838636	0.003564	0.006032	-0.010994	0.294971	-0.244465	-0.923288	-0.380898	-0.547623	31.791308
31871	8269353	0.075794	-0.040812	9.841286	0.017355	0.014785	-0.007148				-0.378402	-0.545512	31.790274
31875	8269378	0.083794	-0.021068	9.828933	-0.013870	0.010325	0.011347				-0.379894	-0.546309	31.793305
31878	8269403	0.107398	-0.036630	9.820914	-0.005282	-0.019741	-0.006162				-0.380642	-0.549142	31.792444
31882	8269428	0.090890	-0.053104	9.844172	-0.006966	0.004472	-0.009595	0.295472	-0.244963	-0.922803	-0.381627	-0.548511	31.791059
31885	8269453	0.085381	-0.049121	9.849618	-0.012429	0.001575	-0.006339				-0.383398	-0.548291	31.790154
31889	8269478	0.082778	-0.055735	9.850981	0.004764	0.008908	0.013201				-0.376244	-0.546654	31.792084
31892	8269503	0.061072	-0.046753	9.841205	0.001067	0.004284	0.008397				-0.376102	-0.546032	31.793282
31896	8269528	0.087945	-0.027433	9.833093	0.007914	0.001994	0.003077	0.296429	-0.243498	-0.921774	-0.374973	-0.545744	31.793727
31899	8269553	0.074523	-0.043806	9.842659	0.005889	0.002986	-0.008519				-0.374118	-0.545324	31.792497
31903	8269578	0.075815	-0.038661	9.828938	-0.014123	0.012472	-0.000465				-0.376544	-0.545280	31.792952
31906	8269603	0.073267	-0.046835	9.837179	-0.019187	0.000159	0.013080				-0.379310	-0.545245	31.794828
31910	8269628	0.079927	-0.033101	9.813866	-0.003794	0.015672	-0.006638	0.296406	-0.243008	-0.922257	-0.379844	-0.543006	31.793861
31913	8269653	0.086602	-0.039680	9.834506	-0.008720	0.016853	0.004323				-0.381099	-0.540588	31.794465
31917	8269678	0.089608	-0.056081	9.830463	-0.023483	0.012450	0.000459				-0.380130	-0.542345	31.792924
31920	8269703	0.074658	-0.052039	9.839952	-0.012496	0.006403	0.004177				-0.381926	-0.541424	31.793515
31924	8269728	0.078634	-0.049183	9.834472	-0.005554	0.020999	-0.010671	0.296442	-0.244977	-0.922303	-0.382707	-0.538426	31.791964
31927	8269753	0.065249	-0.056194	9.820689	-0.000250	0.012189	-0.009665				-0.382729	-0.536689	31.790565
31931	8269778	0.085549	-0.039785	9.831752	-0.012463	-0.013189	-0.017425				-0.383500	-0.539455	31.790328
31934	8269803	0.082630	-0.029106	9.822104	-0.012261	-0.002186	-0.007403				-0.385247	-0.539775	31.789269
31938	8269828	0.099658	-0.069119	9.815490	-0.003375	-0.000766	0.009529	0.296958	-0.245473	-0.921323	-0.385743	-0.539876	31.790637
31941	8269853	0.084517	-0.080062	9.853822	-0.003359	0.000054	0.007434				-0.386234	-0.539861	31.791702
31945	8269878	0.065424	-0.052057	9.838507	0.001746	-0.016788	-0.001463				-0.383290	-0.542087	31.789318
31948	8269903	0.070556	-0.072158	9.864676	-0.006630	0.012305	-0.010438				-0.384225	-0.540335	31.787805
31952	8269928	0.086113	-0.065255	9.834579	-0.000933	-0.012949	0.001492	0.295062	-0.245438	-0.920837	-0.384361	-0.542188	31.788041
31955	8269953	0.098110	-0.061101	9.834661	-0.007915	-0.013447	0.011531				-0.385511	-0.544103	31.789702
31959	8269978	0.083038	-0.073366	9.837331	-0.007823	0.015751	-0.012255				-0.383733	-0.541470	31.787547
31962	8270003	0.066872	-0.048004	9.820681	0.003432	-0.009760	-0.004581				-0.383235	-0.542873	31.786897
31966	8270028	0.077291	-0.038486	9.813859	0.004086	0.005063	-0.007716	0.295987	-0.246941	-0.922847	-0.382639	-0.542155	31.785781
31969	8270053	0.091120	-0.049050	9.822220	-0.006080	0.003037	0.004219				-0.383516	-0.541716	31.786388
31973	8270078	0.093522	-0.047514	9.834583	0.001585	0.006449	-0.000122				-0.381338	-0.544687	31.787664
31976	8270103	0.078929	-0.062796	9.835894	-0.011933	0.012290	0.005023				-0.383054	-0.542922	31.788373
31980	8270128	0.069462	-0.061551	9.833080	-0.003411	0.005266	-0.020559	0.296909	-0.245975	-0.923314	-0.383515	-0.542188	31.785425
31983	8270153	0.076028	-0.046615	9.844057	-0.004600	-0.008540	-0.010243				-0.384160	-0.543421	31.783968
31987	8270178	0.081770	-0.065507	9.841408	-0.028966	-0.000376	-0.007455				-0.386307	-0.543351	31.785182
31990	8270203	0.088573	-0.055958	9.829081	-0.009967	-0.017014	0.003429				-0.387739	-0.545784	31.785694
31994	8270228	0.082876	-0.050542	9.837257	-0.006273	0.000450	-0.010465	0.295959	-0.245464	-0.922812	-0.388624	-0.545730	31.784190
31997	8270253	0.072036	-0.045288	9.834425	-0.002702	-0.007418	-0.002812				-0.389007	-0.546795	31.783797
32001	8270278	0.069490	-0.056027	9.831696	0.001210	-0.010017	-0.007717				-0.386861	-0.549946	31.781888
32004	8270303	0.084391	-0.045179	9.822158	-0.007091	-0.004548	0.015584				-0.387898	-0.550583	31.784122
32008	8270328	0.073479	-0.069451	9.831771	-0.000346	0.014246	-0.015716	0.293585	-0.245420	-0.922329	-0.387926	-0.548557	31.781857
32011	8270353	0.084422	-0.065402	9.842800	-0.012349	0.005518	0.020677				-0.389723	-0.547747	31.784811
32015	8270378	0.084091	-0.035702	9.827612	-0.008890	-0.005375	0.006673				-0.387367	-0.551926	31.782676
32018	8270403	0.081904	-0.068029	9.826338	-0.004253	0.000443	-0.003432				-0.387972	-0.551866	31.782183
32022	8270428	0.098028	-0.073043	9.829198	0.006443	0.010964	-0.020553	0.294575	-0.244938	-0.920828	-0.387020	-0.550316	31.779233
32025	8270453	0.050448	-0.076635	9.863178	-0.014567	0.007538	0.001624				-0.389109	-0.549234	31.779459
32029	8270478	0.088187	-0.036808	9.831751	0.007802	0.003116	-0.011626				-0.385460	-0.550611	31.780798
32032	8270503	0.094081	-0.077319	9.834669	-0.006999	0.001423	0.000672				-0.386464	-0.550406	31.780898
32036	8270528	0.093711	-0.061104	9.844214	-0.002161	0.004391	-0.008354	0.295096	-0.244939	-0.919341	-0.386762	-0.549785	31.779698
32039	8270553	0.077728	-0.068409	9.812577	-0.010942	0.014670	0.001118				-0.388330	-0.547683	31.779845
32043	8270578	0.076671	-0.073525	9.818089	-0.006130	0.002785	0.008644				-0.387516	-0.549837	31.781342
32046	8270603	0.088333	-0.074633	9.841489	-0.003938	0.024749	0.002792				-0.388084	-0.546289	31.781726
32050	8270628	0.083147	-0.070813	9.840057	-0.007725	0.000636	-0.010858	0.295052	-0.244946	-0.920826	-0.389175	-0.546209	31.780167
