// Start Time: Unknown
// Update Rate: Various
// Filter Profile: general (39.15)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 1.10.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
40828	13449133	0.017654	0.015926	9.828896	-0.009501	-0.003646	-0.017306				-0.448886	0.095757	65.918602
40831	13449158	0.039290	0.012329	9.831792	-0.000912	-0.000209	-0.017759	0.269970	-0.255092	-0.968693	-0.449021	0.095707	65.916062
40835	13449183	0.050171	0.008548	9.844219	0.003336	-0.001524	-0.014019				-0.448546	0.095473	65.914056
40838	13449208	0.026742	0.017367	9.831698	-0.006431	0.012918	-0.013617				-0.447207	0.096281	65.913433
40842	13449233	0.007647	0.035946	9.830118	-0.007106	0.008257	0.002094				-0.448225	0.097466	65.913719
40845	13449258	0.047315	0.019285	9.835951	0.002499	-0.008774	-0.008015	0.270486	-0.255588	-0.967713	-0.447869	0.096201	65.912594
40849	13449283	0.057148	-0.004711	9.840207	0.012007	-0.007962	-0.004105				-0.446150	0.095056	65.912009
40852	13449308	0.046209	0.004440	9.834612	0.006495	-0.001854	-0.005651				-0.443170	0.093769	65.909756
40856	13449333	0.028320	0.018796	9.839916	-0.004715	-0.002247	0.002119				-0.443845	0.093449	65.910076
40859	13449358	0.038036	0.016211	9.822172	-0.012943	-0.001548	-0.004274	0.270444	-0.254113	-0.968173	-0.445700	0.093223	65.909462
40863	13449383	0.030105	-0.012227	9.829068	-0.005911	0.001279	0.000106				-0.446546	0.093406	65.909480
40866	13449408	0.032546	0.010953	9.834504	0.006440	-0.004435	-0.000745				-0.439764	0.089516	65.908796
40870	13449433	0.057085	-0.000998	9.818239	-0.004256	0.012301	-0.005229				-0.440375	0.091272	65.908034
40873	13449458	0.017301	0.029506	9.821999	0.007343	0.004442	0.000560	0.269044	-0.255071	-0.967708	-0.439323	0.091909	65.908112
40877	13449483	0.055490	0.028435	9.822245	-0.017333	-0.005265	-0.003427				-0.441807	0.091151	65.907625
40880	13449508	0.006311	0.025347	9.835641	0.013706	0.006796	-0.015248				-0.434918	0.091123	65.905935
40884	13449533	0.052714	0.012489	9.833248	-0.005047	0.009966	-0.004752				-0.435642	0.092545	65.905246
40887	13449558	0.060823	0.016632	9.830552	-0.005762	0.003305	-0.003050	0.269596	-0.257537	-0.966774	-0.436468	0.093015	65.904810
40891	13449583	0.029006	0.001121	9.813927	-0.015245	-0.011265	0.016436				-0.438648	0.091420	65.907166
40894	13449608	0.044715	0.010961	9.826356	-0.005087	-0.000930	0.007154				-0.436387	0.090207	65.905331
40898	13449633	0.055701	0.023201	9.820895	-0.001761	-0.010701	0.007778				-0.436637	0.088682	65.906456
40901	13449658	0.045920	0.024379	9.829062	-0.009505	-0.002962	-0.013813	0.269544	-0.257051	-0.968247	-0.438002	0.088243	65.904478
40905	13449683	0.044547	0.017900	9.823586	0.010456	0.007816	-0.006370				-0.436505	0.089355	65.903558
40908	13449708	0.048522	0.012346	9.834602	-0.007702	0.024322	-0.005658				-0.437995	0.088199	65.905990
40912	13449733	0.068792	0.024735	9.833325	-0.020833	0.002579	0.005417				-0.440978	0.088575	65.906770
40915	13449758	0.048699	0.019197	9.834587	-0.005771	-0.005221	-0.025091	0.269019	-0.256063	-0.969216	-0.441810	0.087799	65.903177
40919	13449783	0.047465	0.011053	9.829110	-0.010264	-0.003228	0.015447				-0.443277	0.087354	65.905404
40922	13449808	0.062092	0.021073	9.833289	0.017101	0.013757	0.001894				-0.434573	0.088958	65.902483
40926	13449833	0.052092	0.050095	9.829018	-0.015391	0.010291	-0.000145				-0.436778	0.090432	65.902460
40929	13449858	0.058128	0.019313	9.819555	0.003602	0.003551	-0.011551	0.269035	-0.254579	-0.967697	-0.436265	0.090928	65.900803
40933	13449883	0.048143	0.047328	9.839972	-0.014280	-0.001037	-0.009513				-0.438312	0.090769	65.899436
40936	13449908	0.029690	0.008104	9.841341	-0.007093	0.004344	0.007275				-0.435456	0.089185	65.904027
40940	13449933	0.045712	0.032590	9.829039	-0.001045	0.000447	-0.002611				-0.435606	0.089246	65.903657
40943	13449958	0.041860	0.025963	9.848229	0.002351	-0.012369	-0.011837	0.269957	-0.253613	-0.968164	-0.435272	0.087462	65.901983
40947	13449983	0.044512	0.027087	9.824922	-0.015931	-0.000973	-0.006485				-0.437556	0.087315	65.901054
40950	13450008	0.035016	0.036371	9.820711	-0.007026	-0.000675	0.000647				-0.435036	0.085280	65.900682
40954	13450033	0.044549	0.027089	9.831786	-0.009070	-0.006583	-0.010526				-0.436338	0.084325	65.899192
40957	13450058	0.019768	0.042494	9.821966	-0.029285	0.001591	0.001620	0.270446	-0.252632	-0.967149	-0.440532	0.084555	65.899427
40961	13450083	0.052692	0.028458	9.822239	-0.014399	-0.000785	0.006263				-0.442593	0.084449	65.900320
40964	13450108	0.026485	0.030950	9.831639	-0.007810	0.025664	0.022832				-0.440639	0.086183	65.901728
40968	13450133	0.045309	0.058019	9.839911	-0.011431	0.000022	-0.011471				-0.442279	0.086174	65.900083
40971	13450158	0.046731	0.040567	9.844096	-0.016788	0.004230	-0.019449	0.269996	-0.254101	-0.967186	-0.444688	0.086758	65.897299
40975	13450183	0.052423	0.036821	9.830422	-0.000131	0.008452	-0.000556				-0.444707	0.087968	65.897207
40978	13450208	0.047208	0.021899	9.834558	0.000955	-0.003220	-0.003678				-0.443322	0.084261	65.897670
40982	13450233	0.037394	0.032612	9.834463	0.008827	0.014839	-0.003178				-0.442058	0.086382	65.897194
40985	13450258	0.060627	0.035446	9.818150	-0.007342	0.002755	-0.003317	0.269494	-0.253602	-0.967671	-0.443110	0.086773	65.896712
40989	13450283	0.048268	0.044990	9.845469	0.006601	-0.008704	0.006245				-0.442163	0.085534	65.897624
40992	13450308	0.045538	0.059582	9.834430	0.001824	-0.021240	0.016969				-0.439573	0.083033	65.899055
40996	13450333	0.052333	0.048876	9.819424	0.001249	0.000493	0.001743				-0.439393	0.083106	65.899296
40999	13450358	0.049700	0.041971	9.820790	-0.007421	0.002830	-0.004123	0.270454	-0.254606	-0.968185	-0.440457	0.083506	65.898701
41003	13450383	0.022281	0.045661	9.838428	-0.002287	0.017606	-0.013262				-0.440788	0.086013	65.896784
41006	13450408	0.051098	0.031112	9.815350	-0.013970	0.008756	-0.013302				-0.438221	0.081578	65.897699
41010	13450433	0.038950	0.044701	9.833060	0.001621	-0.008632	0.005725				-0.437988	0.080348	65.898533
41013	13450458	0.032421	0.036363	9.820704	-0.003752	-0.020733	-0.007221	0.269494	-0.253602	-0.967671	-0.438527	0.077371	65.897509
41017	13450483	0.042473	0.062224	9.838508	0.007655	-0.006436	0.006156				-0.437429	0.076455	65.898405
41020	13450508	0.051062	0.030139	9.835936	0.004049	0.007354	0.006939				-0.434983	0.079012	65.896623
41024	13450533	0.060711	0.030050	9.827764	-0.008862	0.002746	-0.004108				-0.436253	0.079401	65.896036
41027	13450558	0.042835	0.048663	9.837192	-0.003999	-0.010993	0.007641	0.267996	-0.251613	-0.968622	-0.436824	0.077835	65.897144
41031	13450583	0.053485	0.042153	9.834537	-0.011653	0.014232	-0.004277				-0.438494	0.079868	65.896510
41034	13450608	0.048458	0.031176	9.834535	-0.010717	-0.001368	0.019257				-0.433963	0.074816	65.900797
