// Start Time: Unknown
// Update Rate: Various
// Filter Profile: general (39.15)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 1.10.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
17144	11922165	0.112390	0.026959	9.822878	-0.005506	0.009754	0.006151	0.282322	-0.256222	-0.955297	-0.309571	-0.498913	29.886932
17148	11922190	0.128982	0.015088	9.831272	-0.002466	-0.005715	-0.008573				-0.309913	-0.499738	29.885714
17151	11922215	0.127328	0.012432	9.836761	0.003603	0.011121	0.002423				-0.308038	-0.500240	29.888775
17155	11922240	0.111016	0.024396	9.829757	0.009447	0.011784	-0.001311				-0.306683	-0.498553	29.888579
17158	11922265	0.123333	0.028528	9.824340	0.000484	-0.005795	-0.004688	0.281854	-0.256706	-0.955311	-0.306608	-0.499386	29.887912
17162	11922290	0.115251	0.024386	9.822933	0.005451	-0.002605	0.025123				-0.305859	-0.499740	29.891514
17165	11922315	0.125841	0.033864	9.827081	-0.000665	0.011258	-0.002256				-0.304105	-0.500311	29.886309
17169	11922340	0.125663	0.028553	9.849039	-0.011633	0.005835	-0.009902				-0.305759	-0.499483	29.884877
17172	11922365	0.151546	0.035573	9.838212	-0.014612	-0.001545	-0.006163	0.282326	-0.257209	-0.955815	-0.307844	-0.499709	29.883996
17176	11922390	0.124240	0.044468	9.824292	-0.016625	0.009219	-0.000161				-0.310225	-0.498388	29.883960
17179	11922415	0.143267	0.030162	9.840925	-0.010596	0.017129	-0.001152				-0.305674	-0.499321	29.887402
17183	11922440	0.137624	0.061178	9.825697	0.004274	0.006501	0.011887				-0.305077	-0.498381	29.889097
17186	11922465	0.148940	0.038236	9.812138	-0.000371	0.006342	0.008094	0.282771	-0.256235	-0.956284	-0.305140	-0.497466	29.890244
17190	11922490	0.142386	0.023550	9.820369	0.004365	-0.006396	-0.000006				-0.304515	-0.498382	29.890254
17193	11922515	0.128305	0.036601	9.838066	-0.010502	0.008407	-0.017633				-0.306066	-0.496666	29.887670
17197	11922540	0.139675	0.017945	9.835445	-0.006811	-0.000396	-0.014530				-0.307024	-0.496734	29.885593
17200	11922565	0.108410	0.021617	9.832501	0.004455	-0.000066	-0.007287	0.282326	-0.257209	-0.955815	-0.306376	-0.496749	29.884548
17204	11922590	0.140914	0.016818	9.834101	0.008893	0.005235	0.002345				-0.305105	-0.495997	29.884879
17207	11922615	0.115002	0.025644	9.839366	-0.011879	0.011086	-0.006364				-0.304508	-0.497792	29.883635
17211	11922640	0.109856	0.028263	9.828368	0.001584	-0.010613	-0.004488				-0.304276	-0.499316	29.883009
17214	11922665	0.116441	0.030997	9.858562	-0.013636	-0.016850	-0.015119	0.281381	-0.256203	-0.954807	-0.306210	-0.501741	29.880852
17218	11922690	0.127389	0.019156	9.839482	0.001268	0.004037	-0.010294				-0.306016	-0.501171	29.879384
17221	11922715	0.113954	0.042911	9.809136	-0.014542	-0.025123	-0.001802				-0.304085	-0.506299	29.880934
17225	11922740	0.117785	0.028527	9.828420	0.008722	0.007063	0.018972				-0.302860	-0.505273	29.883645
17228	11922765	0.132649	0.020568	9.835391	0.000057	0.011900	-0.009908	0.283278	-0.256238	-0.955292	-0.302839	-0.503576	29.882221
17232	11922790	0.123142	0.046066	9.822911	-0.002739	-0.002229	-0.017232				-0.303209	-0.503908	29.879754
17235	11922815	0.105647	0.037649	9.832427	-0.003293	-0.009926	-0.021702				-0.300155	-0.506152	29.877633
17239	11922840	0.121946	0.037833	9.814690	-0.002462	-0.004266	-0.028227				-0.300471	-0.506784	29.873594
17242	11922865	0.131230	0.028721	9.843577	-0.005382	0.004147	-0.016099	0.283305	-0.257715	-0.955327	-0.301222	-0.506203	29.871294
17246	11922890	0.110831	0.030995	9.836586	-0.006962	0.004472	-0.016901				-0.302198	-0.505575	29.868873
17249	11922915	0.096342	0.009076	9.836556	-0.012684	0.004004	-0.002246				-0.300472	-0.507670	29.868518
17253	11922940	0.086677	0.037331	9.815825	0.004792	0.010163	-0.008808				-0.299774	-0.506221	29.867246
17256	11922965	0.119176	0.029978	9.844873	0.006412	-0.003804	-0.018355	0.282780	-0.256727	-0.956296	-0.298833	-0.506780	29.864624
17260	11922990	0.120522	0.039166	9.827025	-0.008087	-0.019962	-0.004806				-0.299985	-0.509643	29.863946
17263	11923015	0.117488	0.038068	9.840724	0.015503	0.013712	-0.015372				-0.294634	-0.505905	29.859996
17267	11923040	0.098294	0.040375	9.840594	0.009491	0.024280	0.010785				-0.293288	-0.502419	29.861524
17270	11923065	0.074386	0.015926	9.862436	0.007161	0.010647	-0.007614	0.283283	-0.255744	-0.954786	-0.292253	-0.500899	29.860416
17274	11923090	0.099801	0.042928	9.843322	-0.006285	0.007550	-0.003567				-0.293149	-0.499821	29.859907
17277	11923115	0.107745	0.044685	9.832415	0.014873	0.015563	-0.010678				-0.288328	-0.503244	29.858193
17281	11923140	0.128559	0.054158	9.825662	0.000419	-0.009397	-0.007364				-0.288258	-0.504595	29.857144
17284	11923165	0.098773	0.038846	9.818649	-0.000896	0.000396	0.001858	0.283803	-0.257227	-0.954323	-0.288389	-0.504537	29.857417
17288	11923190	0.121573	0.048640	9.833855	-0.005689	0.000131	0.001626				-0.289206	-0.504517	29.857646
17291	11923215	0.109109	0.060451	9.830980	-0.011428	0.010780	-0.002679				-0.287984	-0.503617	29.856484
17295	11923240	0.103955	0.045563	9.822776	-0.006798	0.001748	-0.006303				-0.288950	-0.503371	29.855587
17298	11923265	0.124604	0.041903	9.824297	-0.004049	-0.008750	0.003588	0.283784	-0.256242	-0.954300	-0.289535	-0.504622	29.856111
17302	11923290	0.098725	0.032157	9.835131	0.002685	0.003323	0.000229				-0.289150	-0.504146	29.856145
17305	11923315	0.116111	0.050217	9.842052	0.012589	-0.008790	-0.000720				-0.285614	-0.507562	29.856265
17309	11923340	0.120254	0.045917	9.836599	-0.008340	0.004847	0.018264				-0.286832	-0.506854	29.858876
17312	11923365	0.083821	0.030683	9.843260	0.001395	0.001019	-0.002186	0.283746	-0.255754	-0.955278	-0.286629	-0.506710	29.858567
17316	11923390	0.115935	0.063537	9.837885	0.006132	-0.009674	-0.010546				-0.285737	-0.508103	29.857058
17319	11923415	0.122969	0.049879	9.832501	-0.008568	-0.005345	-0.012700				-0.284522	-0.508706	29.856759
17323	11923440	0.133715	0.042230	9.828481	0.007895	0.012907	-0.008012				-0.283381	-0.506863	29.855602
17326	11923465	0.116500	0.033820	9.821539	-0.000778	-0.007120	0.014508	0.282796	-0.255243	-0.954776	-0.283510	-0.507873	29.857689
17330	11923490	0.096992	0.049684	9.830938	-0.002189	0.016414	0.007580				-0.283834	-0.505516	29.858764
17333	11923515	0.116247	0.043183	9.828353	-0.002775	-0.000285	-0.008591				-0.280070	-0.511010	29.854926
17337	11923540	0.121630	0.036409	9.822932	-0.007990	0.011849	-0.005113				-0.281208	-0.509316	29.854185
17340	11923565	0.109578	0.031018	9.833838	-0.002797	0.002848	-0.010276	0.282346	-0.256712	-0.954813	-0.281596	-0.508915	29.852723
17344	11923590	0.104616	0.029361	9.831060	-0.013818	-0.022709	0.002210				-0.283578	-0.512166	29.853053
17347	11923615	0.123242	0.035081	9.829793	-0.012168	-0.011989	0.004783				-0.280733	-0.509968	29.854435
17351	11923640	0.113544	0.039099	9.826969	-0.004779	-0.003070	-0.010115				-0.281405	-0.510414	29.852991
17354	11923665	0.119100	0.033865	9.831148	0.002739	0.000867	0.015199	0.283272	-0.256733	-0.955799	-0.281032	-0.510279	29.855167
17358	11923690	0.117531	0.028280	9.844868	-0.019664	0.011517	0.002666				-0.283852	-0.508628	29.855541
17361	11923715	0.138192	0.044874	9.831240	-0.005147	-0.013903	0.021131				-0.280845	-0.517201	29.858516
17365	11923740	0.132615	0.030028	9.828509	-0.003906	0.004600	0.001332				-0.281407	-0.516541	29.858712
17368	11923765	0.140837	0.038013	9.805223	-0.008780	0.005974	0.007129	0.283258	-0.256735	-0.956293	-0.282673	-0.515681	29.859727
17372	11923790	0.119919	0.039217	9.839366	-0.008392	0.028567	-0.001474				-0.283873	-0.511590	29.859496
17375	11923815	0.120225	0.024644	9.843535	0.004655	0.022660	-0.007497				-0.281883	-0.512482	29.858991
17379	11923840	0.100063	0.021540	9.855742	0.005300	0.003707	0.003904				-0.281129	-0.511948	29.859552
17382	11923865	0.112355	0.010697	9.836668	-0.011860	0.018646	0.008573	0.281850	-0.255719	-0.954793	-0.282839	-0.509272	29.860758
17386	11923890	0.112309	0.031034	9.835222	-0.000957	0.008854	-0.010903				-0.282962	-0.508011	29.859192
17389	11923915	0.143410	0.040844	9.843638	-0.009885	-0.012855	0.012229				-0.282538	-0.508706	29.862273
17393	11923940	0.120384	0.043119	9.825641	-0.016285	-0.006030	0.015722				-0.284891	-0.509559	29.864534
17396	11923965	0.144575	0.046284	9.828545	-0.005844	0.001270	-0.004214	0.281835	-0.255721	-0.955288	-0.285723	-0.509380	29.863939
17400	11923990	0.109654	0.040129	9.814599	-0.017050	0.005139	0.006701				-0.288174	-0.508639	29.864900
17403	11924015	0.126724	0.055519	9.822901	0.001559	0.006104	-0.001380				-0.282689	-0.508938	29.862133
17407	11924040	0.137865	0.046225	9.824374	-0.003250	0.008279	0.004540				-0.283160	-0.507749	29.862774
17410	11924065	0.102854	0.030955	9.822822	0.005379	-0.001253	-0.006950	0.282350	-0.257699	-0.955332	-0.282381	-0.507934	29.861778
17414	11924090	0.132476	0.038000	9.828481	-0.009944	0.022911	0.012915				-0.283822	-0.504643	29.863614
17417	11924115	0.146937	0.075893	9.817484	-0.006934	0.003281	0.012691				-0.282909	-0.508405	29.864569
17421	11924140	0.135532	0.037922	9.799700	-0.006813	0.011274	-0.005512				-0.283878	-0.506794	29.863767
17424	11924165	0.132652	0.018089	9.864211	0.000578	-0.000323	-0.007327	0.282766	-0.256729	-0.956791	-0.283786	-0.506846	29.862730
17428	11924190	0.135124	0.053076	9.843542	0.000377	-0.014323	-0.001036				-0.283731	-0.508898	29.862575
17431	11924215	0.133741	0.040698	9.853161	-0.017437	-0.006078	-0.001645				-0.284790	-0.506119	29.864289
17435	11924240	0.126877	0.044824	9.838017	-0.003064	0.009742	-0.015798				-0.285209	-0.504735	29.862022
17438	11924265	0.132456	0.039317	9.853162	-0.015438	0.001830	-0.001270	0.282264	-0.256231	-0.957276	-0.287418	-0.504473	29.861842
17442	11924290	0.108196	0.024118	9.844814	-0.013453	0.011757	-0.018230				-0.289322	-0.502802	29.859224
17445	11924315	0.135306	0.044777	9.807910	-0.005247	0.002623	0.019462				-0.285208	-0.507828	29.864485
17449	11924340	0.120366	0.044392	9.810545	-0.013384	-0.002193	0.003949				-0.287130	-0.508139	29.865050
17452	11924365	0.148617	0.057366	9.820303	0.008373	0.010006	0.001386	0.282784	-0.257714	-0.956814	-0.285932	-0.506705	29.865237
17456	11924390	0.139184	0.053141	9.816138	0.011110	-0.000361	-0.013280				-0.284324	-0.506766	29.863332
17459	11924415	0.142002	0.030253	9.840921	0.005065	0.010867	-0.012144				-0.284162	-0.505177	29.860818
17463	11924440	0.121545	0.037876	9.848974	-0.010996	0.010218	0.000010				-0.285737	-0.503713	29.860809
17466	11924465	0.129880	0.043400	9.831187	-0.007603	-0.011893	0.007316	0.283721	-0.256746	-0.956786	-0.286835	-0.505411	29.861869
17470	11924490	0.129810	0.044687	9.840783	-0.014140	-0.013734	-0.010829				-0.288847	-0.507386	29.860329
17473	11924515	0.126802	0.057958	9.835235	-0.015832	0.003681	-0.001618				-0.284561	-0.506638	29.859689
17477	11924540	0.121046	0.016262	9.817501	-0.007613	-0.013141	0.006381				-0.285659	-0.508515	29.860618
17480	11924565	0.121881	0.028376	9.828444	-0.000507	0.002874	0.005151	0.282775	-0.257222	-0.956802	-0.285738	-0.508100	29.861355
17484	11924590	0.124285	0.063249	9.817364	-0.016209	-0.002596	-0.003745				-0.288056	-0.508474	29.860815
17487	11924615	0.120529	0.041881	9.818790	-0.012660	-0.008079	0.009274				-0.286644	-0.512917	29.861198
17491	11924640	0.110607	0.053908	9.814564	0.005832	0.014853	-0.006340				-0.285800	-0.510794	29.860273
17494	11924665	0.119105	0.040458	9.828382	-0.012486	-0.006448	-0.004089	0.281852	-0.258188	-0.956335	-0.287583	-0.511720	29.859698
17498	11924690	0.116031	0.050081	9.815998	0.013508	0.010204	-0.013000				-0.285632	-0.510268	29.857834
17501	11924715	0.119145	0.029768	9.821566	0.009127	0.006215	-0.011551				-0.285646	-0.512903	29.857529
17505	11924740	0.109373	0.036249	9.806384	-0.006761	0.026771	-0.009598				-0.286602	-0.509075	29.856143
17508	11924765	0.109553	0.057992	9.813174	0.007068	-0.006336	-0.006679	0.283276	-0.257720	-0.956317	-0.285581	-0.509987	29.855193
17512	11924790	0.112427	0.021611	9.831142	0.001058	0.000744	0.012925				-0.285446	-0.509871	29.857038
17515	11924815	0.113569	0.037612	9.813272	-0.003457	0.018080	0.009337				-0.281203	-0.507626	29.854587
17519	11924840	0.112276	0.027040	9.821521	-0.000136	0.013392	-0.002950				-0.281219	-0.505710	29.854169
17522	11924865	0.085623	0.063194	9.848654	0.006570	0.029489	0.000241	0.282766	-0.256729	-0.956791	-0.280278	-0.501486	29.854173
17526	11924890	0.086330	0.050873	9.834981	0.002521	0.002885	-0.017157				-0.279895	-0.501085	29.851718
17529	11924915	0.114351	0.060822	9.857079	-0.001374	0.007503	0.000300				-0.277408	-0.501982	29.856046
17533	11924940	0.110357	0.064656	9.833726	-0.001168	0.009671	-0.008026				-0.277565	-0.500602	29.854892
17536	11924965	0.109137	0.045847	9.848860	-0.002398	0.012551	0.003779	0.282733	-0.255747	-0.957262	-0.277913	-0.498802	29.855426
17540	11924990	0.117062	0.051261	9.844801	-0.008614	0.025411	-0.013740				-0.279129	-0.495172	29.853438
17543	11925015	0.120380	0.043128	9.822894	-0.008099	-0.000589	-0.001647				-0.275755	-0.500171	29.852733
17547	11925040	0.122845	0.048766	9.831116	-0.001606	0.008006	-0.003189				-0.275981	-0.499026	29.852259
17550	11925065	0.109085	0.052591	9.847470	-0.001054	0.008078	-0.012517	0.282791	-0.255738	-0.955283	-0.276116	-0.497878	29.850460
17554	11925090	0.110920	0.040507	9.818723	0.004235	0.005461	-0.009853				-0.275497	-0.497102	29.849048
17557	11925115	0.110697	0.035016	9.829712	-0.000021	0.021796	-0.016727				-0.274381	-0.492821	29.846082
17561	11925140	0.102441	0.060438	9.825452	-0.003158	0.003465	0.003271				-0.274837	-0.492322	29.846544
17564	11925165	0.135374	0.042092	9.820262	-0.006270	-0.009771	-0.012024	0.283788	-0.257229	-0.954818	-0.275721	-0.493730	29.844838
17568	11925190	0.115062	0.031335	9.828384	0.015195	0.009391	-0.009653				-0.273532	-0.492392	29.843449
17571	11925215	0.110441	0.052253	9.828282	-0.016084	0.017519	0.003567				-0.274476	-0.492125	29.843934
17575	11925240	0.141945	0.055788	9.831230	-0.003050	-0.003591	-0.019769				-0.274888	-0.492653	29.841100
17578	11925265	0.121895	0.044711	9.816052	0.010397	-0.010808	0.009157	0.282813	-0.257709	-0.955824	-0.273411	-0.494195	29.842432
17582	11925290	0.113815	0.018913	9.822932	0.006759	0.011404	-0.005449				-0.272436	-0.492565	29.841634
17585	11925315	0.109345	0.048459	9.843373	-0.006689	-0.005640	-0.013582				-0.269229	-0.495355	29.839114
17589	11925340	0.128391	0.040618	9.822957	-0.006451	0.011782	-0.003174				-0.270150	-0.493670	29.838654
17592	11925365	0.120122	0.043374	9.844841	0.001979	0.004841	0.004388	0.283233	-0.257727	-0.957801	-0.269872	-0.492973	29.839281
17596	11925390	0.124471	0.050081	9.837987	-0.003128	-0.014742	-0.002901				-0.270316	-0.495087	29.838871
17599	11925415	0.139472	0.031516	9.835407	0.005275	-0.007376	0.004415				-0.265212	-0.494078	29.839125
17603	11925440	0.125363	0.051395	9.847595	-0.013699	0.002076	-0.003307				-0.267170	-0.493783	29.838646
17606	11925465	0.133808	0.047805	9.847656	0.003397	-0.006130	-0.006044	0.283701	-0.257243	-0.957787	-0.266676	-0.494665	29.837790
17610	11925490	0.107818	0.045753	9.847485	-0.011060	0.009508	0.004031				-0.268266	-0.493301	29.838364
